rxn	name	ec	bihit	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	pathway	status	pathway.status	dbhit	complex	exception	complex.status
PYRUFLAVREDUCT-RXN	pyruvate synthase	1.2.7.1/1.2.7.2	NA									|PWY-6588|	no_blast	NA	rxn05938 rxn05940 rxn07824 rxn10951 rxn13974 rxn14178 rxn17398 rxn20651 	Subunit 3	0	NA
PYRUFLAVREDUCT-RXN	pyruvate synthase	1.2.7.1/1.2.7.2	NA									|PWY-6588|	no_blast	NA	rxn05938 rxn05940 rxn07824 rxn10951 rxn13974 rxn14178 rxn17398 rxn20651 	Subunit PorA	0	NA
PYRUFLAVREDUCT-RXN	pyruvate synthase	1.2.7.1/1.2.7.2	NA									|PWY-6588|	no_blast	NA	rxn05938 rxn05940 rxn07824 rxn10951 rxn13974 rxn14178 rxn17398 rxn20651 	Subunit PorB	0	NA
PYRUFLAVREDUCT-RXN	pyruvate synthase	1.2.7.1/1.2.7.2	NA									|PWY-6588|	no_blast	NA	rxn05938 rxn05940 rxn07824 rxn10951 rxn13974 rxn14178 rxn17398 rxn20651 	Subunit PorC	0	NA
PYRUFLAVREDUCT-RXN	pyruvate synthase	1.2.7.1/1.2.7.2	NA									|PWY-6588|	no_blast	NA	rxn05938 rxn05940 rxn07824 rxn10951 rxn13974 rxn14178 rxn17398 rxn20651 	Subunit PorD	0	NA
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9	NA									|PWY-6588|	no_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit 2	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		tr|A4YEH9|A4YEH9_METS5	47.287	3.89e-101	326	97	scaffold00035	1655	498	|PWY-6588|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A0F2PPA7	43.392	3.56e-92	300	99	scaffold00035	1655	468	|PWY-6588|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A0S7ZZB8	48.852	1.67e-86	280	97	scaffold00035	1343	477	|PWY-6588|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A0S8AC53	40.204	7.02e-80	265	95	scaffold00035	1655	516	|PWY-6588|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A0N9XQC3	37.500	3.18e-66	225	99	scaffold00035	1655	471	|PWY-6588|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A024HJ80	38.191	3.18e-64	219	99	scaffold00035	1655	477	|PWY-6588|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETOACETATE-DECARBOXYLASE-RXN	acetoacetate decarboxylase	4.1.1.4	NA									|PWY-6588|	no_blast	NA	rxn00995 	NA	0	NA
2.8.3.9-RXN	butyrate-acetoacetate CoA-transferase	2.8.3.9	NA									|PWY-6588|	no_seq_data	NA	rxn00994 	NA	0	NA
ACETOACETYL-COA-TRANSFER-RXN	acetate-acetoacetate CoA-transferase	2.8.3.9	NA									|PWY-6588|	no_seq_data	NA	rxn00994 	NA	0	NA
MANGANESE-PEROXIDASE-RXN	MANGANESE-PEROXIDASE-RXN	1.11.1.16/1.11.1.13	NA									|PWY-6591|	no_seq_data	NA	rxn00008 rxn20171 	NA	0	NA
RXN-11645	Mn(III) oxidase		NA									|PWY-6591|	no_seq_data	NA	 	NA	0	NA
RXN-11645	Mn(III) oxidase		NA									|PWY-6592|	no_seq_data	NA	 	NA	0	NA
RXN-11646	manganoxidase	1.16.3.3	NA									|PWY-6592|	no_seq_data	NA	 	NA	0	NA
RXN-11673	sulfoacetate-CoA ligase		NA									|PWY-6593|	no_seq_data	NA	 	NA	0	NA
RXN-11674	acylating sulfoacetaldehyde dehydrogenase	1.2.1.81	NA									|PWY-6593|	no_blast	NA	rxn16401 	NA	0	NA
AMP-DEAMINASE-RXN	AMP deaminase	3.5.4.17/3.5.4.6	NA									|PWY-6596|	no_blast	NA	rxn00130 	NA	0	NA
IMP-DEHYDROG-RXN	IMP dehydrogenase	1.1.1.205/1.2.1.14		UniRef90_A9A5Y7	48.620	3.02e-137	434	99	scaffold00026	36561	37961	|PWY-6596|	good_blast	NA	rxn00834 rxn11768 	NA	0	1
XMPXAN-RXN	XMPXAN-RXN	3.1.3.5	NA									|PWY-6596|	no_blast	NA	rxn00132 rxn00363 rxn00708 rxn00831 rxn00913 rxn01145 rxn01218 rxn01445 rxn01507 rxn01521 rxn01670 rxn01961 rxn02400 rxn05050 rxn09010 rxn18968 	NA	0	NA
RXN-7607	inosine-5'-phosphate nucleotidase	3.1.3.99/3.1.3.5	NA									|PWY-6596|	no_blast	NA	rxn00132 rxn00363 rxn00708 rxn00831 rxn00913 rxn01145 rxn01218 rxn01445 rxn01507 rxn01521 rxn01670 rxn01961 rxn02400 rxn05050 rxn09010 rxn18968 	NA	0	NA
INOSINE-NUCLEOSIDASE-RXN	inosine nucleosidase	3.2.2.2	NA									|PWY-6596|	no_seq_data	NA	rxn01299 rxn15248 rxn19932 	NA	0	NA
RXN0-363	xanthosine nucleosidase	3.2.2.1	NA									|PWY-6596|	no_blast	NA	rxn00927 rxn00942 rxn01226 rxn01299 rxn01545 rxn01683 rxn15162 rxn15165 rxn15229 rxn15248 rxn15307 rxn15319 rxn20636 rxn26066 rxn26067 	NA	0	NA
RXN0-901	xanthine dehydrogenase	1.17.1.4/1.1.1.204	NA									|PWY-6596|	no_blast	NA	rxn01297 rxn01522 	Subunit 1	0	NA
RXN0-901	xanthine dehydrogenase	1.17.1.4/1.1.1.204	NA									|PWY-6596|	no_blast	NA	rxn01297 rxn01522 	Subunit 10hA	0	NA
RXN0-901	xanthine dehydrogenase	1.17.1.4/1.1.1.204	NA									|PWY-6596|	no_blast	NA	rxn01297 rxn01522 	Subunit 10hB	0	NA
RXN0-901	xanthine dehydrogenase	1.17.1.4/1.1.1.204	NA									|PWY-6596|	no_blast	NA	rxn01297 rxn01522 	Subunit 3	0	NA
RXN0-901	xanthine dehydrogenase	1.17.1.4/1.1.1.204	NA									|PWY-6596|	no_blast	NA	rxn01297 rxn01522 	Subunit 4	0	NA
RXN0-901	xanthine dehydrogenase	1.17.1.4/1.1.1.204	NA									|PWY-6596|	no_blast	NA	rxn01297 rxn01522 	Subunit undefined	0	NA
RXN0-901	xanthine dehydrogenase	1.17.1.4/1.1.1.204	NA									|PWY-6596|	no_blast	NA	rxn01297 rxn01522 	NA	0	NA
RXN-7682	hypoxanthine dehydrogenase	1.17.1.4/1.1.1.204	NA									|PWY-6596|	no_blast	NA	rxn01297 rxn01522 	Subunit 1	0	NA
RXN-7682	hypoxanthine dehydrogenase	1.17.1.4/1.1.1.204	NA									|PWY-6596|	no_blast	NA	rxn01297 rxn01522 	Subunit 10hA	0	NA
RXN-7682	hypoxanthine dehydrogenase	1.17.1.4/1.1.1.204	NA									|PWY-6596|	no_blast	NA	rxn01297 rxn01522 	Subunit 10hB	0	NA
RXN-7682	hypoxanthine dehydrogenase	1.17.1.4/1.1.1.204	NA									|PWY-6596|	no_blast	NA	rxn01297 rxn01522 	Subunit 3	0	NA
RXN-7682	hypoxanthine dehydrogenase	1.17.1.4/1.1.1.204	NA									|PWY-6596|	no_blast	NA	rxn01297 rxn01522 	Subunit 4	0	NA
RXN-7682	hypoxanthine dehydrogenase	1.17.1.4/1.1.1.204	NA									|PWY-6596|	no_blast	NA	rxn01297 rxn01522 	Subunit undefined	0	NA
RXN-7682	hypoxanthine dehydrogenase	1.17.1.4/1.1.1.204	NA									|PWY-6596|	no_blast	NA	rxn01297 rxn01522 	NA	0	NA
RXN-16094	RXN-16094	2.3.1.199	NA									|PWY-6598|	no_seq_data	NA	 	NA	0	NA
RXN-16095	RXN-16095	1.1.1.330	NA	UniRef50_K6SXC5	30.364	8.10e-25	100	92	scaffold00017	14209	14919	|PWY-6598|	bad_blast	NA	 	NA	0	NA
RXN-16096	RXN-16096	4.2.1.134	NA									|PWY-6598|	no_seq_data	NA	 	NA	0	NA
RXN-16097	RXN-16097	1.3.1.93	NA									|PWY-6598|	no_seq_data	NA	 	NA	0	NA
RXN-11677	(11Z,14Z)-icosa-11,14-dienoyl-CoA 5-desaturase	1.14.19.37	NA									|PWY-6598|	no_seq_data	NA	 	NA	0	NA
GUANPRIBOSYLTRAN-RXN	guanine phosphoribosyltransferase	2.4.2.8	NA	UniRef90_D5VT38	28.333	4.41e-11	58.2	92	scaffold00006	147026	147541	|PWY-6599|	bad_blast	NA	rxn00139 rxn00836 rxn00915 rxn01544 rxn11765 rxn11766 rxn11773 rxn32380 rxn33365 	NA	0	NA
RXN0-366	guanosine hydrolase	3.2.2.1	NA									|PWY-6599|	no_blast	NA	rxn00927 rxn00942 rxn01226 rxn01299 rxn01545 rxn01683 rxn15162 rxn15165 rxn15229 rxn15248 rxn15307 rxn15319 rxn20636 rxn26066 rxn26067 	NA	0	NA
RXN-11684	RXN-11684		NA									|PWY-6602|	spontaneous	NA	 	NA	0	NA
RXN-11686	RXN-11686		NA									|PWY-6602|	no_seq_data	NA	 	NA	0	NA
RXN-14069	naringenin 2-hydroxylase	1.14.14.162/1.14.14.140	NA									|PWY-6602|	no_seq_data	NA	 	NA	0	NA
RXN-14076	2-hydroxynaringenin-6C-glucoside dehydratase		NA									|PWY-6602|	no_seq_data	NA	 	NA	0	NA
RXN-11685	naringenin dibenzoylmethane tautomer 3-C-glucosyltransferase	2.4.1.360	NA									|PWY-6602|	no_seq_data	NA	 	NA	0	NA
RXN-18753	RXN-18753		NA									|PWY-6602|	spontaneous	NA	 	NA	0	NA
RXN-11682	stearidonoyl-lipid 6-acetylenase	1.14.19.38	NA									|PWY-6603|	no_seq_data	NA	 	NA	0	NA
RXN-11681	gamma-linolenoyl-lipid 6-acetylenase	1.14.19.38	NA									|PWY-6603|	no_seq_data	NA	 	NA	0	NA
RXN-11680	linoleoyl-lipid 6-desaturase	1.14.19.47	NA									|PWY-6603|	no_seq_data	NA	 	NA	0	NA
RXN-8347	alpha-linolenate delta6-desaturase	1.14.19.47	NA									|PWY-6603|	no_seq_data	NA	 	NA	0	NA
ADENPRIBOSYLTRAN-RXN	adenine phosphoribosyltransferase	2.4.2.7	NA	UniRef90_Q6LZG8	46.746	6.78e-48	163	98	scaffold00012	70252	70758	|PWY-6605|	bad_blast	NA	rxn00139 rxn00915 rxn03039 rxn12778 	NA	0	NA
ADENOSINE-NUCLEOSIDASE-RXN	adenosine nucleosidase	3.2.2.7	NA									|PWY-6605|	no_seq_data	NA	rxn00927 rxn15162 rxn19072 	NA	0	NA
GUANINE-DEAMINASE-RXN	guanine deaminase	3.5.4.3	NA	UniRef50_A0A1Q9N4B9	31.469	2.38e-13	63.5	81	scaffold00005	148707	149129	|PWY-6606|	bad_blast	NA	rxn01225 rxn30031 	NA	0	NA
RXN-7609	5'-GMP-nucleotidase	3.1.3.5	NA									|PWY-6606|	no_blast	NA	rxn00132 rxn00363 rxn00708 rxn00831 rxn00913 rxn01145 rxn01218 rxn01445 rxn01507 rxn01521 rxn01670 rxn01961 rxn02400 rxn05050 rxn09010 rxn18968 	NA	0	NA
RXN0-366	guanosine hydrolase	3.2.2.1	NA									|PWY-6606|	no_blast	NA	rxn00927 rxn00942 rxn01226 rxn01299 rxn01545 rxn01683 rxn15162 rxn15165 rxn15229 rxn15248 rxn15307 rxn15319 rxn20636 rxn26066 rxn26067 	NA	0	NA
RXN0-901	xanthine dehydrogenase	1.17.1.4/1.1.1.204	NA									|PWY-6606|	no_blast	NA	rxn01297 rxn01522 	Subunit 1	0	NA
RXN0-901	xanthine dehydrogenase	1.17.1.4/1.1.1.204	NA									|PWY-6606|	no_blast	NA	rxn01297 rxn01522 	Subunit 10hA	0	NA
RXN0-901	xanthine dehydrogenase	1.17.1.4/1.1.1.204	NA									|PWY-6606|	no_blast	NA	rxn01297 rxn01522 	Subunit 10hB	0	NA
RXN0-901	xanthine dehydrogenase	1.17.1.4/1.1.1.204	NA									|PWY-6606|	no_blast	NA	rxn01297 rxn01522 	Subunit 3	0	NA
RXN0-901	xanthine dehydrogenase	1.17.1.4/1.1.1.204	NA									|PWY-6606|	no_blast	NA	rxn01297 rxn01522 	Subunit 4	0	NA
RXN0-901	xanthine dehydrogenase	1.17.1.4/1.1.1.204	NA									|PWY-6606|	no_blast	NA	rxn01297 rxn01522 	Subunit undefined	0	NA
RXN0-901	xanthine dehydrogenase	1.17.1.4/1.1.1.204	NA									|PWY-6606|	no_blast	NA	rxn01297 rxn01522 	NA	0	NA
RXN0-363	xanthosine nucleosidase	3.2.2.1	NA									|PWY-6607|	no_blast	NA	rxn00927 rxn00942 rxn01226 rxn01299 rxn01545 rxn01683 rxn15162 rxn15165 rxn15229 rxn15248 rxn15307 rxn15319 rxn20636 rxn26066 rxn26067 	NA	0	NA
RXN-7609	5'-GMP-nucleotidase	3.1.3.5	NA									|PWY-6607|	no_blast	NA	rxn00132 rxn00363 rxn00708 rxn00831 rxn00913 rxn01145 rxn01218 rxn01445 rxn01507 rxn01521 rxn01670 rxn01961 rxn02400 rxn05050 rxn09010 rxn18968 	NA	0	NA
GUANOSINE-DEAMINASE-RXN	guanosine deaminase	3.5.4.15	NA									|PWY-6607|	no_seq_data	NA	rxn01547 	NA	0	NA
RXN0-901	xanthine dehydrogenase	1.17.1.4/1.1.1.204	NA									|PWY-6607|	no_blast	NA	rxn01297 rxn01522 	Subunit 1	0	NA
RXN0-901	xanthine dehydrogenase	1.17.1.4/1.1.1.204	NA									|PWY-6607|	no_blast	NA	rxn01297 rxn01522 	Subunit 10hA	0	NA
RXN0-901	xanthine dehydrogenase	1.17.1.4/1.1.1.204	NA									|PWY-6607|	no_blast	NA	rxn01297 rxn01522 	Subunit 10hB	0	NA
RXN0-901	xanthine dehydrogenase	1.17.1.4/1.1.1.204	NA									|PWY-6607|	no_blast	NA	rxn01297 rxn01522 	Subunit 3	0	NA
RXN0-901	xanthine dehydrogenase	1.17.1.4/1.1.1.204	NA									|PWY-6607|	no_blast	NA	rxn01297 rxn01522 	Subunit 4	0	NA
RXN0-901	xanthine dehydrogenase	1.17.1.4/1.1.1.204	NA									|PWY-6607|	no_blast	NA	rxn01297 rxn01522 	Subunit undefined	0	NA
RXN0-901	xanthine dehydrogenase	1.17.1.4/1.1.1.204	NA									|PWY-6607|	no_blast	NA	rxn01297 rxn01522 	NA	0	NA
GUANINE-DEAMINASE-RXN	guanine deaminase	3.5.4.3	NA	UniRef50_A0A1Q9N4B9	31.469	2.38e-13	63.5	81	scaffold00005	148707	149129	|PWY-6608|	bad_blast	NA	rxn01225 rxn30031 	NA	0	NA
RXN-7609	GMP 5'-nucleotidase	3.1.3.5	NA									|PWY-6608|	no_blast	NA	rxn00132 rxn00363 rxn00708 rxn00831 rxn00913 rxn01145 rxn01218 rxn01445 rxn01507 rxn01521 rxn01670 rxn01961 rxn02400 rxn05050 rxn09010 rxn18968 	NA	0	NA
RXN0-901	xanthine dehydrogenase	1.17.1.4/1.1.1.204	NA									|PWY-6608|	no_blast	NA	rxn01297 rxn01522 	Subunit 1	0	NA
RXN0-901	xanthine dehydrogenase	1.17.1.4/1.1.1.204	NA									|PWY-6608|	no_blast	NA	rxn01297 rxn01522 	Subunit 10hA	0	NA
RXN0-901	xanthine dehydrogenase	1.17.1.4/1.1.1.204	NA									|PWY-6608|	no_blast	NA	rxn01297 rxn01522 	Subunit 10hB	0	NA
RXN0-901	xanthine dehydrogenase	1.17.1.4/1.1.1.204	NA									|PWY-6608|	no_blast	NA	rxn01297 rxn01522 	Subunit 3	0	NA
RXN0-901	xanthine dehydrogenase	1.17.1.4/1.1.1.204	NA									|PWY-6608|	no_blast	NA	rxn01297 rxn01522 	Subunit 4	0	NA
RXN0-901	xanthine dehydrogenase	1.17.1.4/1.1.1.204	NA									|PWY-6608|	no_blast	NA	rxn01297 rxn01522 	Subunit undefined	0	NA
RXN0-901	xanthine dehydrogenase	1.17.1.4/1.1.1.204	NA									|PWY-6608|	no_blast	NA	rxn01297 rxn01522 	NA	0	NA
RXN0-5199	guanosine phosphorylase	2.4.2.15/2.4.2.1	NA	UniRef90_P50389	34.419	5.82e-32	120	94	scaffold00005	147940	148569	|PWY-6608|	bad_blast	NA	rxn01138 rxn01358 rxn01446 rxn01548 rxn01646 rxn01647 rxn01649 rxn01684 rxn01799 rxn01859 rxn01985 rxn19453 rxn19455 rxn19457 rxn20597 rxn22072 rxn22093 rxn24218 	NA	0	NA
INOPHOSPHOR-RXN	inosine phosphorylase	2.4.2.1	NA	UniRef90_P50389	34.419	5.82e-32	120	94	scaffold00005	147940	148569	|PWY-6609|	bad_blast	NA	rxn01138 rxn01358 rxn01446 rxn01548 rxn01646 rxn01647 rxn01649 rxn01684 rxn01799 rxn01859 rxn01985 rxn19453 rxn19455 rxn19457 rxn20597 rxn22072 rxn22093 rxn24218 	NA	0	NA
ADENPHOSPHOR-RXN	adenosine phosphorylase	2.4.2.1	NA	UniRef90_P50389	34.419	5.82e-32	120	94	scaffold00005	147940	148569	|PWY-6609|	bad_blast	NA	rxn01138 rxn01358 rxn01446 rxn01548 rxn01646 rxn01647 rxn01649 rxn01684 rxn01799 rxn01859 rxn01985 rxn19453 rxn19455 rxn19457 rxn20597 rxn22072 rxn22093 rxn24218 	NA	0	NA
ADENODEAMIN-RXN	adenosine deaminase	3.5.4.4	NA	UniRef90_Q8PUQ3	22.646	0.073	32.3	84	scaffold00027	5931	4819	|PWY-6609|	bad_blast	NA	rxn01137 rxn01858 rxn29985 	NA	0	NA
HYPOXANPRIBOSYLTRAN-RXN	hypoxanthine phosphoribosyltransferase	2.4.2.8	NA	UniRef90_D5VT38	28.333	4.41e-11	58.2	92	scaffold00006	147026	147541	|PWY-6609|	bad_blast	NA	rxn00139 rxn00836 rxn00915 rxn01544 rxn11765 rxn11766 rxn11773 rxn32380 rxn33365 	NA	0	NA
HYPOXANPRIBOSYLTRAN-RXN	hypoxanthine phosphoribosyltransferase	2.4.2.8	NA	UniRef90_D5VT38	28.333	4.41e-11	58.2	92	scaffold00006	147026	147541	|PWY-6610|	bad_blast	NA	rxn00139 rxn00836 rxn00915 rxn01544 rxn11765 rxn11766 rxn11773 rxn32380 rxn33365 	NA	0	NA
ADENINE-DEAMINASE-RXN	adenine deaminase	3.5.4.2	NA									|PWY-6610|	no_blast	NA	rxn00926 rxn29986 	NA	0	NA
ADENPRIBOSYLTRAN-RXN	adenine phosphoribosyltransferase	2.4.2.7	NA	UniRef90_Q6LZG8	46.746	6.78e-48	163	98	scaffold00012	70252	70758	|PWY-6610|	bad_blast	NA	rxn00139 rxn00915 rxn03039 rxn12778 	NA	0	NA
ADENPHOSPHOR-RXN	adenosine phosphorylase	2.4.2.1	NA	UniRef90_P50389	34.419	5.82e-32	120	94	scaffold00005	147940	148569	|PWY-6611|	bad_blast	NA	rxn01138 rxn01358 rxn01446 rxn01548 rxn01646 rxn01647 rxn01649 rxn01684 rxn01799 rxn01859 rxn01985 rxn19453 rxn19455 rxn19457 rxn20597 rxn22072 rxn22093 rxn24218 	NA	0	NA
ADENODEAMIN-RXN	adenosine deaminase	3.5.4.4	NA	UniRef90_Q8PUQ3	22.646	0.073	32.3	84	scaffold00027	5931	4819	|PWY-6611|	bad_blast	NA	rxn01137 rxn01858 rxn29985 	NA	0	NA
INOSINEKIN-RXN	inosine kinase	2.7.1.73	NA	UniRef90_Q57849	26.333	2.80e-17	79.7	98	scaffold00028	29602	28709	|PWY-6611|	bad_blast	NA	rxn00835 rxn00914 	NA	0	NA
GART-RXN	phosphoribosylglycinamide formyltransferase 1	2.1.2.2	NA	UniRef50_A0A832KA43	44.041	3.77e-45	157	92	scaffold00004	8636	9187	|PWY-6613|	bad_blast	NA	rxn03004 rxn03005 rxn33724 	NA	0	NA
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_A3CWL0	45.276	7.56e-64	214	89	scaffold00014	54843	54082	|PWY-6613|	good_blast	NA	rxn01211 rxn24147 rxn34053 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_B8GG34	43.922	1.09e-59	202	90	scaffold00014	54843	54082	|PWY-6613|	good_blast	NA	rxn01211 rxn24147 rxn34053 	NA	0	1
H2PTEROATESYNTH-RXN	(2-amino-4-hydroxy-7,8-dihydropteridin-6-yl)methyl-diphosphate:4-aminobenzoate 2-amino-4-hydroxydihydropteridine-6-methenyltransferase	2.5.1.15	NA									|PWY-6614|	no_blast	NA	rxn02200 rxn02201 rxn33974 	NA	0	NA
DIHYDROFOLATESYNTH-RXN	dihydrofolate synthetase	6.3.2.12	NA	UniRef50_A0A0B3A543	22.997	0.030	33.5	87	scaffold00013	61815	60730	|PWY-6614|	bad_blast	NA	rxn01210 rxn01603 	NA	0	NA
DIHYDROFOLATEREDUCT-RXN	dihydrofolate reductase	1.5.1.3/1.5.1.4	NA									|PWY-6614|	no_blast	NA	rxn00684 rxn00685 rxn00686 rxn00687 rxn01601 rxn01602 rxn12649 rxn14120 rxn32434 	NA	0	NA
RXN66-2	ethanol monooxygenase		NA									|PWY66-161|	no_seq_data	NA	 	NA	0	NA
RXN66-3	acetaldehyde dehydrogenase	1.2.1.3/1.1.1.70	NA	UniRef50_Q97UA1	23.543	1.82e-10	60.5	86	scaffold00020	25604	24426	|PWY66-161|	bad_blast	NA	rxn00196 rxn00506 rxn00653 rxn01286 rxn01459 rxn01851 rxn01937 rxn02106 rxn02122 rxn02350 rxn02364 rxn02729 rxn02853 rxn03106 rxn03335 rxn03343 rxn03354 rxn03423 rxn03552 rxn03553 rxn03598 rxn04234 rxn05853 rxn05879 rxn06890 rxn09975 rxn15053 rxn19111 rxn19121 rxn19124 rxn23850 rxn23892 rxn24151 rxn24152 rxn25819 rxn28278 rxn28320 rxn28322 rxn31363 rxn31371 rxn31647 rxn32113 rxn33160 rxn38859 rxn38860 rxn38861 rxn38862 	NA	0	NA
ACETATE--COA-LIGASE-RXN	acetyl-coA synthetase	6.2.1.1	NA	UniRef90_A4YDR9	24.266	2.02e-27	115	93	scaffold00019	19416	17944	|PWY66-161|	bad_blast	NA	rxn00175 rxn00176 rxn00226 rxn33879 	NA	0	NA
RXN66-3	acetaldehyde dehydrogenase	1.2.1.3/1.1.1.70	NA	UniRef50_Q97UA1	23.543	1.82e-10	60.5	86	scaffold00020	25604	24426	|PWY66-162|	bad_blast	NA	rxn00196 rxn00506 rxn00653 rxn01286 rxn01459 rxn01851 rxn01937 rxn02106 rxn02122 rxn02350 rxn02364 rxn02729 rxn02853 rxn03106 rxn03335 rxn03343 rxn03354 rxn03423 rxn03552 rxn03553 rxn03598 rxn04234 rxn05853 rxn05879 rxn06890 rxn09975 rxn15053 rxn19111 rxn19121 rxn19124 rxn23850 rxn23892 rxn24151 rxn24152 rxn25819 rxn28278 rxn28320 rxn28322 rxn31363 rxn31371 rxn31647 rxn32113 rxn33160 rxn38859 rxn38860 rxn38861 rxn38862 	NA	0	NA
RXN66-1	ethanol peroxidase	1.11.1.6	NA									|PWY66-162|	no_blast	NA	rxn00006 rxn00427 rxn01932 rxn06212 rxn11962 rxn26776 	NA	0	NA
ACETATE--COA-LIGASE-RXN	acetyl-coA synthetase	6.2.1.1	NA	UniRef90_A4YDR9	24.266	2.02e-27	115	93	scaffold00019	19416	17944	|PWY66-162|	bad_blast	NA	rxn00175 rxn00176 rxn00226 rxn33879 	NA	0	NA
RXN-11689	S-sulfolactate dehydrogenase	1.1.1.310	NA									|PWY-6616|	no_blast	NA	rxn03963 	NA	0	NA
RXN-11690	(R)-sulfolactate dehydrogenase (NADP+)	1.1.1.338	NA									|PWY-6616|	no_seq_data	NA	 	NA	0	NA
RXN-11691	R-sulfolactate sulfo-lyase	4.4.1.24	NA	UniRef50_B8E1Z6	30.256	3.08e-48	173	98	scaffold00003	169609	168461	|PWY-6616|	bad_blast	NA	rxn07449 rxn15695 rxn15696 	NA	0	NA
AMP-NUCLEOSID-RXN	AMP nucleosidase	3.2.2.4	NA	UniRef50_J7VRU2	26.800	1.87e-16	75.9	90	scaffold00005	147940	148671	|PWY-6617|	bad_blast	NA	rxn00131 rxn15018 	NA	0	NA
GUANOSINEKIN-RXN	guanosine kinase	2.7.1.73	NA	UniRef90_Q57849	26.333	2.80e-17	79.7	98	scaffold00028	29602	28709	|PWY-6618|	bad_blast	NA	rxn00835 rxn00914 	NA	0	NA
ADENOSINE-KINASE-RXN	adenosine kinase	2.7.1.20	NA									|PWY-6619|	no_blast	NA	rxn00134 	NA	0	NA
RXN66-61	nicotine,NADPH:oxygen oxidoreductase		NA									|PWY66-201|	no_seq_data	NA	 	NA	0	NA
RXN66-62	nicotine oxidase		NA									|PWY66-201|	no_seq_data	NA	 	NA	0	NA
RXN66-81	nicotine monooxygenase	1.14.13.8/1.13.12.11	NA									|PWY66-201|	no_seq_data	NA	rxn02398 rxn03117 rxn03899 rxn06719 rxn11794 rxn26996 rxn30560 	NA	0	NA
RXN66-83	nicotine glucuronosyltransferase	2.4.1.17	NA									|PWY66-201|	no_blast	NA	rxn01697 rxn01721 rxn01795 rxn01812 rxn02078 rxn02217 rxn03024 rxn03025 rxn03026 rxn03202 rxn04909 rxn05992 rxn11787 rxn11789 rxn11790 rxn11791 rxn14014 rxn14144 rxn15770 rxn16263 rxn16264 rxn16265 rxn20964 rxn20965 rxn20966 rxn20967 rxn20975 rxn20977 rxn20979 rxn20981 rxn21120 rxn21361 rxn25286 rxn26817 rxn26824 rxn26998 rxn27411 	NA	0	NA
RXN66-101	RXN66-101		NA									|PWY66-201|	no_seq_data	NA	 	NA	0	NA
RXN66-103	RXN66-103		NA									|PWY66-201|	no_seq_data	NA	 	NA	0	NA
RXN66-104	RXN66-104		NA									|PWY66-201|	no_seq_data	NA	 	NA	0	NA
RXN66-105	RXN66-105		NA									|PWY66-201|	no_seq_data	NA	 	NA	0	NA
RXN66-141	RXN66-141		NA									|PWY66-201|	no_seq_data	NA	 	NA	0	NA
RXN66-142	RXN66-142		NA									|PWY66-201|	no_seq_data	NA	 	NA	0	NA
RXN66-144	RXN66-144		NA									|PWY66-201|	no_seq_data	NA	 	NA	0	NA
RXN66-145	RXN66-145		NA									|PWY66-201|	no_seq_data	NA	 	NA	0	NA
